Test Case,Layout Type,Wall Density,Algorithm,Time (ms),Nodes Visited,Path Length,Success
130,Random,39.3%,astar,0.30,33,0,No
130,Random,39.3%,ml,0.40,149,0,No
131,Random,40.8%,astar,0.30,77,0,No
131,Random,40.8%,ml,0.30,62,0,No
132,Random,35.5%,astar,0.30,11,9.41,Yes
132,Random,35.5%,ml,0.30,10,9.24,Yes
133,Random,38.8%,astar,0.20,46,19.24,Yes
133,Random,38.8%,ml,0.20,39,20.66,Yes
134,Random,44.0%,astar,0.20,2,0,No
134,Random,44.0%,ml,0.20,13,0,No
135,Random,35.5%,astar,0.60,179,0,No
135,Random,35.5%,ml,0.40,38,22.24,Yes
136,Random,42.8%,astar,0.30,123,0,No
136,Random,42.8%,ml,0.40,29,0,No
137,Random,43.3%,astar,0.60,56,0,No
137,Random,43.3%,ml,0.20,64,0,No
138,Random,39.0%,astar,0.20,75,33.83,Yes
138,Random,39.0%,ml,0.20,23,12.41,Yes
139,Random,38.0%,astar,0.20,86,25.07,Yes
139,Random,38.0%,ml,0.10,30,20.66,Yes
140,Random,40.0%,astar,0.20,42,17.00,Yes
140,Random,40.0%,ml,0.30,155,0,No
141,Random,35.3%,astar,0.50,225,0,No
141,Random,35.3%,ml,0.40,225,0,No
142,Random,39.8%,astar,0.40,15,0,No
142,Random,39.8%,ml,0.20,160,0,No
143,Random,39.8%,astar,0.20,88,0,No
143,Random,39.8%,ml,0.10,87,0,No
144,Random,42.8%,astar,0.30,16,10.00,Yes
144,Random,42.8%,ml,0.30,57,0,No
145,Random,39.8%,astar,0.30,83,0,No
145,Random,39.8%,ml,0.10,60,0,No
146,Random,40.8%,astar,0.50,134,33.24,Yes
146,Random,40.8%,ml,0.10,23,14.41,Yes
147,Random,44.8%,astar,0.30,10,0,No
147,Random,44.8%,ml,0.10,26,0,No
148,Random,38.8%,astar,0.20,59,25.83,Yes
148,Random,38.8%,ml,0.20,17,13.41,Yes
149,Random,40.3%,astar,0.30,48,19.07,Yes
149,Random,40.3%,ml,0.20,31,0,No
150,Random,41.5%,astar,0.20,3,0,No
150,Random,41.5%,ml,0.10,24,17.24,Yes
151,Random,39.0%,astar,0.50,213,0,No
151,Random,39.0%,ml,0.10,21,10.83,Yes
152,Random,35.0%,astar,0.30,36,12.66,Yes
152,Random,35.0%,ml,0.10,28,18.24,Yes
153,Random,41.8%,astar,0.40,86,0,No
153,Random,41.8%,ml,0.10,42,0,No
154,Random,45.3%,astar,0.40,19,9.83,Yes
154,Random,45.3%,ml,0.10,17,11.41,Yes
155,Random,37.5%,astar,0.40,117,32.83,Yes
155,Random,37.5%,ml,0.40,207,0,No
156,Random,45.8%,astar,0.20,4,0,No
156,Random,45.8%,ml,0.10,13,0,No
157,Random,36.0%,astar,0.20,12,10.41,Yes
157,Random,36.0%,ml,0.20,24,14.07,Yes
158,Random,37.0%,astar,0.30,20,0,No
158,Random,37.0%,ml,0.10,33,16.00,Yes
159,Random,40.3%,astar,0.50,190,0,No
159,Random,40.3%,ml,0.20,81,28.66,Yes
160,Random,39.5%,astar,0.20,72,0,No
160,Random,39.5%,ml,0.30,112,0,No
161,Random,45.0%,astar,0.10,1,0,No
161,Random,45.0%,ml,0.30,53,0,No
162,Random,43.5%,astar,0.10,1,0,No
162,Random,43.5%,ml,0.20,1,0,No
163,Random,38.5%,astar,0.20,86,21.00,Yes
163,Random,38.5%,ml,0.20,15,10.83,Yes
164,Random,38.0%,astar,0.30,144,0,No
164,Random,38.0%,ml,0.20,78,0,No
165,Random,40.0%,astar,0.40,66,21.83,Yes
165,Random,40.0%,ml,0.30,39,21.24,Yes
166,Random,38.3%,astar,0.50,27,11.66,Yes
166,Random,38.3%,ml,0.20,16,10.41,Yes
167,Random,39.8%,astar,0.30,22,0,No
167,Random,39.8%,ml,0.30,37,15.41,Yes
168,Random,38.3%,astar,0.30,159,42.73,Yes
168,Random,38.3%,ml,0.50,231,0,No
169,Random,44.3%,astar,0.40,150,0,No
169,Random,44.3%,ml,0.10,13,0,No
170,Random,37.5%,astar,0.20,73,0,No
170,Random,37.5%,ml,0.20,73,0,No
171,Random,37.8%,astar,0.40,49,22.24,Yes
171,Random,37.8%,ml,0.20,6,0,No
172,Random,40.8%,astar,0.30,9,0,No
172,Random,40.8%,ml,0.30,39,18.41,Yes
173,Random,38.5%,astar,0.20,20,15.83,Yes
173,Random,38.5%,ml,0.10,21,17.24,Yes
174,Random,39.0%,astar,0.20,42,0,No
174,Random,39.0%,ml,0.70,159,0,No
175,Random,43.5%,astar,0.50,119,0,No
175,Random,43.5%,ml,0.20,32,0,No
176,Random,39.8%,astar,0.20,21,0,No
176,Random,39.8%,ml,0.30,22,0,No
177,Random,34.5%,astar,0.40,19,14.83,Yes
177,Random,34.5%,ml,0.20,27,14.41,Yes
178,Random,44.0%,astar,0.20,42,21.83,Yes
178,Random,44.0%,ml,0.20,39,0,No
179,Random,41.3%,astar,0.20,13,0,No
179,Random,41.3%,ml,0.30,34,0,No
180,Random,40.5%,astar,0.30,22,16.66,Yes
180,Random,40.5%,ml,0.50,207,0,No
181,Maze,43.5%,astar,0.60,223,0,No
181,Maze,43.5%,ml,0.30,67,26.41,Yes
182,Maze,44.5%,astar,0.80,70,41.41,Yes
182,Maze,44.5%,ml,0.10,29,18.00,Yes
183,Maze,43.8%,astar,0.30,118,63.41,Yes
183,Maze,43.8%,ml,0.20,104,55.41,Yes
184,Maze,44.0%,astar,0.30,92,33.00,Yes
184,Maze,44.0%,ml,0.30,97,40.41,Yes
185,Maze,43.0%,astar,0.40,200,72.00,Yes
185,Maze,43.0%,ml,0.20,37,26.00,Yes
186,Maze,45.0%,astar,0.20,161,87.24,Yes
186,Maze,45.0%,ml,0.20,68,31.41,Yes
187,Maze,45.5%,astar,0.20,36,19.00,Yes
187,Maze,45.5%,ml,0.30,33,16.00,Yes
188,Maze,42.5%,astar,0.20,92,31.66,Yes
188,Maze,42.5%,ml,0.10,16,13.00,Yes
189,Maze,43.3%,astar,0.20,56,25.41,Yes
189,Maze,43.3%,ml,0.40,64,24.00,Yes
190,Maze,43.0%,astar,0.30,40,18.41,Yes
190,Maze,43.0%,ml,0.30,173,44.41,Yes
191,Maze,43.8%,astar,0.30,99,33.00,Yes
191,Maze,43.8%,ml,0.30,119,35.00,Yes
192,Maze,43.0%,astar,0.20,50,22.41,Yes
192,Maze,43.0%,ml,0.20,43,16.00,Yes
193,Maze,44.8%,astar,0.30,122,58.00,Yes
193,Maze,44.8%,ml,0.20,79,32.00,Yes
194,Maze,43.8%,astar,0.20,54,23.41,Yes
194,Maze,43.8%,ml,0.20,59,22.41,Yes
195,Maze,43.8%,astar,0.10,32,18.41,Yes
195,Maze,43.8%,ml,0.10,65,27.41,Yes
196,Maze,44.0%,astar,0.20,168,41.41,Yes
196,Maze,44.0%,ml,0.20,33,18.41,Yes
197,Maze,43.8%,astar,0.20,15,10.00,Yes
197,Maze,43.8%,ml,0.20,139,52.41,Yes
198,Maze,42.0%,astar,0.20,86,25.41,Yes
198,Maze,42.0%,ml,0.20,74,37.00,Yes
199,Maze,45.8%,astar,0.10,32,21.41,Yes
199,Maze,45.8%,ml,0.10,105,39.00,Yes
200,Maze,46.3%,astar,0.70,53,31.00,Yes
200,Maze,46.3%,ml,0.20,24,15.00,Yes
201,Maze,43.0%,astar,0.30,215,55.66,Yes
201,Maze,43.0%,ml,0.20,129,40.41,Yes
202,Maze,44.8%,astar,0.40,89,37.41,Yes
202,Maze,44.8%,ml,0.10,132,76.41,Yes
203,Maze,43.0%,astar,0.20,20,19.00,Yes
203,Maze,43.0%,ml,0.20,27,22.83,Yes
204,Maze,42.5%,astar,0.10,57,25.00,Yes
204,Maze,42.5%,ml,0.10,37,24.00,Yes
205,Maze,41.8%,astar,0.10,46,25.41,Yes
205,Maze,41.8%,ml,0.20,15,12.00,Yes
206,Maze,43.3%,astar,0.30,8,7.00,Yes
206,Maze,43.3%,ml,0.40,125,36.24,Yes
207,Maze,43.3%,astar,0.40,181,66.24,Yes
207,Maze,43.3%,ml,0.10,100,31.41,Yes
208,Maze,42.8%,astar,0.20,170,77.83,Yes
208,Maze,42.8%,ml,0.30,76,30.00,Yes
209,Maze,43.3%,astar,0.80,47,21.41,Yes
209,Maze,43.3%,ml,0.20,47,20.00,Yes
210,Maze,42.3%,astar,0.40,140,48.00,Yes
210,Maze,42.3%,ml,0.20,55,39.00,Yes
211,Maze,42.3%,astar,0.40,33,21.00,Yes
211,Maze,42.3%,ml,0.20,82,29.00,Yes
212,Maze,43.8%,astar,0.40,187,97.41,Yes
212,Maze,43.8%,ml,0.20,1,0,No
213,Maze,42.3%,astar,0.40,29,17.00,Yes
213,Maze,42.3%,ml,0.30,42,23.41,Yes
214,Maze,44.0%,astar,0.30,57,22.00,Yes
214,Maze,44.0%,ml,0.40,161,37.24,Yes
215,Maze,43.3%,astar,0.10,8,7.00,Yes
215,Maze,43.3%,ml,0.20,39,19.00,Yes
216,Maze,44.8%,astar,0.30,137,58.00,Yes
216,Maze,44.8%,ml,0.20,18,16.83,Yes
217,Maze,39.3%,astar,0.50,78,27.83,Yes
217,Maze,39.3%,ml,0.20,94,31.83,Yes
218,Maze,43.0%,astar,0.50,146,38.83,Yes
218,Maze,43.0%,ml,0.20,45,24.00,Yes
219,Maze,41.3%,astar,0.20,41,21.00,Yes
219,Maze,41.3%,ml,0.10,51,21.24,Yes
220,Maze,42.3%,astar,0.20,22,10.41,Yes
220,Maze,42.3%,ml,0.30,80,28.00,Yes
221,Maze,43.0%,astar,0.40,225,0,No
221,Maze,43.0%,ml,0.30,100,48.83,Yes
222,Maze,43.0%,astar,0.30,188,68.83,Yes
222,Maze,43.0%,ml,0.30,16,13.41,Yes
223,Maze,42.8%,astar,0.20,59,25.00,Yes
223,Maze,42.8%,ml,0.30,95,34.24,Yes
224,Maze,43.8%,astar,0.40,74,33.41,Yes
224,Maze,43.8%,ml,0.20,34,16.00,Yes
225,Maze,42.3%,astar,0.10,26,12.00,Yes
225,Maze,42.3%,ml,0.30,111,34.83,Yes
226,Maze,42.8%,astar,0.10,32,18.00,Yes
226,Maze,42.8%,ml,0.20,16,11.41,Yes
227,Maze,43.5%,astar,0.40,181,60.83,Yes
227,Maze,43.5%,ml,0.20,48,27.41,Yes
228,Maze,44.5%,astar,0.30,194,70.00,Yes
228,Maze,44.5%,ml,0.20,64,21.00,Yes
229,Maze,43.5%,astar,0.20,158,35.00,Yes
229,Maze,43.5%,ml,0.20,163,42.41,Yes
230,Maze,42.8%,astar,0.50,128,40.83,Yes
230,Maze,42.8%,ml,0.20,74,44.00,Yes
231,Maze,44.3%,astar,0.30,60,26.24,Yes
231,Maze,44.3%,ml,0.30,122,38.83,Yes
232,Maze,44.5%,astar,0.30,174,80.00,Yes
232,Maze,44.5%,ml,0.30,191,84.00,Yes
233,Maze,43.5%,astar,0.30,41,16.00,Yes
233,Maze,43.5%,ml,0.20,94,30.00,Yes
234,Maze,42.8%,astar,0.30,85,36.41,Yes
234,Maze,42.8%,ml,0.30,78,25.41,Yes
235,Maze,43.8%,astar,0.20,115,46.41,Yes
235,Maze,43.8%,ml,0.40,82,36.41,Yes
236,Maze,41.8%,astar,0.10,40,16.41,Yes
236,Maze,41.8%,ml,0.20,42,22.41,Yes
237,Maze,43.0%,astar,0.20,17,16.00,Yes
237,Maze,43.0%,ml,0.20,61,28.00,Yes
238,Maze,44.8%,astar,0.20,81,32.41,Yes
238,Maze,44.8%,ml,0.20,40,22.00,Yes
239,Maze,45.3%,astar,0.20,23,13.41,Yes
239,Maze,45.3%,ml,0.10,19,16.00,Yes
240,Maze,43.8%,astar,0.50,64,33.00,Yes
240,Maze,43.8%,ml,0.20,84,28.41,Yes
241,Maze,43.0%,astar,0.30,213,54.83,Yes
241,Maze,43.0%,ml,0.20,194,45.41,Yes
242,Maze,42.3%,astar,0.20,67,28.83,Yes
242,Maze,42.3%,ml,0.30,136,39.66,Yes
243,Maze,43.5%,astar,0.30,95,27.00,Yes
243,Maze,43.5%,ml,0.10,38,20.00,Yes
244,Maze,43.3%,astar,0.30,31,19.41,Yes
244,Maze,43.3%,ml,0.20,62,33.41,Yes
245,Maze,43.5%,astar,0.20,15,12.41,Yes
245,Maze,43.5%,ml,0.20,12,9.00,Yes
246,Maze,42.8%,astar,0.20,29,16.00,Yes
246,Maze,42.8%,ml,0.10,17,11.00,Yes
247,Maze,44.3%,astar,0.20,72,22.00,Yes
247,Maze,44.3%,ml,0.00,54,23.41,Yes
248,Maze,45.3%,astar,0.30,33,17.00,Yes
248,Maze,45.3%,ml,0.20,92,30.00,Yes
249,Maze,43.0%,astar,0.30,18,15.00,Yes
249,Maze,43.0%,ml,0.40,194,62.83,Yes
250,Maze,42.5%,astar,0.20,85,23.41,Yes
250,Maze,42.5%,ml,0.40,97,29.41,Yes
251,Maze,43.5%,astar,0.30,120,39.41,Yes
251,Maze,43.5%,ml,0.20,109,39.00,Yes
252,Maze,41.3%,astar,0.20,31,20.83,Yes
252,Maze,41.3%,ml,0.30,84,31.00,Yes
253,Maze,42.3%,astar,0.20,66,25.83,Yes
253,Maze,42.3%,ml,0.20,88,32.00,Yes
254,Maze,44.3%,astar,0.30,19,16.00,Yes
254,Maze,44.3%,ml,0.20,56,22.41,Yes
255,Maze,44.5%,astar,0.40,174,96.24,Yes
255,Maze,44.5%,ml,0.20,50,25.00,Yes
256,Maze,42.8%,astar,0.30,109,56.41,Yes
256,Maze,42.8%,ml,0.20,119,40.00,Yes
257,Maze,42.8%,astar,0.20,71,30.00,Yes
257,Maze,42.8%,ml,0.20,68,24.41,Yes
258,Maze,42.3%,astar,0.30,174,48.24,Yes
258,Maze,42.3%,ml,0.20,112,42.41,Yes
259,Maze,44.0%,astar,0.20,23,22.00,Yes
259,Maze,44.0%,ml,0.20,19,16.00,Yes
260,Maze,43.0%,astar,0.30,110,34.83,Yes
260,Maze,43.0%,ml,0.20,13,11.00,Yes
261,Maze,42.8%,astar,0.30,149,42.41,Yes
