Test Case,Layout Type,Wall Density,Algorithm,Time (ms),Nodes Visited,Path Length,Success
73,Random,31.3%,ml_dynamic,0.10,43,18.66,Yes
74,Random,30.3%,ml,0.10,50,13.24,Yes
74,Random,30.3%,ml_dynamic,0.30,32,18.49,Yes
75,Random,33.5%,ml,0.30,20,11.83,Yes
75,Random,33.5%,ml_dynamic,0.10,26,22.24,Yes
76,Random,28.5%,ml,0.30,104,19.24,Yes
76,Random,28.5%,ml_dynamic,0.00,30,15.66,Yes
77,Random,32.5%,ml,0.20,57,18.66,Yes
77,Random,32.5%,ml_dynamic,0.20,27,15.41,Yes
78,Random,33.3%,ml,0.30,43,22.41,Yes
78,Random,33.3%,ml_dynamic,0.10,67,23.83,Yes
79,Random,31.3%,ml,0.30,50,18.41,Yes
79,Random,31.3%,ml_dynamic,0.10,96,19.83,Yes
80,Random,32.3%,ml,0.30,250,0,No
80,Random,32.3%,ml_dynamic,0.20,101,30.66,Yes
81,Random,31.3%,ml,0.40,13,8.41,Yes
81,Random,31.3%,ml_dynamic,0.00,1,0,No
82,Random,30.3%,ml,0.30,35,15.66,Yes
82,Random,30.3%,ml_dynamic,0.30,67,25.66,Yes
83,Random,31.0%,ml,0.30,42,0,No
83,Random,31.0%,ml_dynamic,0.20,103,30.66,Yes
84,Random,32.0%,ml,0.30,20,12.83,Yes
84,Random,32.0%,ml_dynamic,0.10,24,13.83,Yes
85,Random,29.0%,ml,0.30,43,16.24,Yes
85,Random,29.0%,ml_dynamic,0.10,1,0,No
86,Random,32.8%,ml,0.50,232,0,No
86,Random,32.8%,ml_dynamic,0.20,13,9.83,Yes
87,Random,26.8%,ml,0.30,15,16.49,Yes
87,Random,26.8%,ml_dynamic,0.00,11,8.41,Yes
88,Random,32.0%,ml,0.30,34,15.66,Yes
88,Random,32.0%,ml_dynamic,0.00,1,0,No
89,Random,30.5%,ml,0.30,78,25.07,Yes
89,Random,30.5%,ml_dynamic,0.40,211,43.56,Yes
90,Random,32.3%,ml,0.30,37,14.83,Yes
90,Random,32.3%,ml_dynamic,0.10,22,19.07,Yes
91,Random,31.0%,ml,0.10,49,16.41,Yes
91,Random,31.0%,ml_dynamic,0.10,15,10.83,Yes
92,Random,32.0%,ml,0.10,34,19.41,Yes
92,Random,32.0%,ml_dynamic,0.10,28,16.24,Yes
93,Random,27.8%,ml,0.20,30,27.90,Yes
93,Random,27.8%,ml_dynamic,0.10,23,13.41,Yes
94,Random,30.3%,ml,0.10,9,7.41,Yes
94,Random,30.3%,ml_dynamic,0.10,31,20.31,Yes
95,Random,31.8%,ml,0.10,19,13.83,Yes
95,Random,31.8%,ml_dynamic,0.10,14,8.83,Yes
96,Random,27.5%,ml,0.10,45,17.83,Yes
96,Random,27.5%,ml_dynamic,0.00,20,12.41,Yes
